tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
511145	Escherichia coli str. K-12 substr. MG1655	947787	0	live	mscL	b3291, ECK3277, yhdC	large conductance mechanosensitive channel	large conductance mechanosensitive channel			NC_000913.3	3438024	3438434	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944790	0	live	folA	b0048, ECK0049, tmr, tmrA	dihydrofolate reductase	dihydrofolate reductase			NC_000913.3	49823	50302	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945053	0	live	ssrA	b2621, ECK2617, sipB	ncRNA				NC_000913.3	2755593	2755955	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948356	0	live	polA	b3863, ECK3855, resA	DNA polymerase I	DNA polymerase I			NC_000913.3	4046966	4049752	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948215	0	live	rnpA	b3704, ECK3696	RNase P protein component	RNase P protein component			NC_000913.3	3884493	3884852	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945007	0	live	lacI	b0345, ECK0342	DNA-binding transcriptional repressor LacI	DNA-binding transcriptional repressor LacI			NC_000913.3	366428	367510	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945554	0	live	ompF	b0929, ECK0920, cmlB, cry, nfxB, tolF	outer membrane porin F	outer membrane porin F			NC_000913.3	985894	986982	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948689	0	live	hfq	b4172, ECK4168	RNA-binding protein Hfq	RNA-binding protein Hfq			NC_000913.3	4400288	4400596	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947521	0	live	tolC	b3035, ECK3026, colE1-i, mtcB, mukA, refI, toc, weeA	outer membrane channel TolC	outer membrane channel TolC			NC_000913.3	3178115	3179596	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945085	0	live	lon	b0439, ECK0433, capR, deg, dir, lopA, muc	Lon protease	Lon protease			NC_000913.3	458888	461242	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948211	0	live	gyrB	b3699, Cou, ECK3691, acrB, cou, himB, hisU, hopA, nalC, parA, pcbA, pcpA	DNA gyrase subunit B	DNA gyrase subunit B			NC_000913.3	3877705	3880119	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947033	0	live	rnc	b2567, ECK2565, ranA	RNase III	RNase III			NC_000913.3	2703383	2704063	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945571	0	live	ompA	b0957, ECK0948, con, tolG, tut	outer membrane protein A	outer membrane protein A			NC_000913.3	1019013	1020053	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946614	0	live	gyrA	b2231, ECK2223, hisW, nalA, nfxA, norA, parD	DNA gyrase subunit A	DNA gyrase subunit A			NC_000913.3	2336793	2339420	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948289	0	live	trxA	b3781, ECK3773, dasC, fipA, tsnC	thioredoxin 1	thioredoxin 1			NC_000913.3	3965761	3966090	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947838	0	live	tufA	b3339, ECK3326, kirT, pulT	translation elongation factor Tu 1	translation elongation factor Tu 1			NC_000913.3	3470145	3471329	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945908	0	live	fnr	b1334, ECK1330, nirA, nirR, ossA, oxrA	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR			NC_000913.3	1398774	1399526	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948538	0	live	malE	b4034, ECK4026	maltose ABC transporter periplasmic binding protein	maltose ABC transporter periplasmic binding protein			NC_000913.3	4245229	4246419	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947206	0	live	mutS	b2733, ECK2728, ant, fdv, plm	DNA mismatch repair protein MutS	DNA mismatch repair protein MutS			NC_000913.3	2857093	2859654	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946393	0	live	cheY	b1882, ECK1883	chemotaxis protein CheY	chemotaxis protein CheY			NC_000913.3	1967048	1967437	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946955	0	live	rnhA	b0214, ECK0214, cer, dasF, herA, rnh, sdrA, sin	ribonuclease HI	ribonuclease HI			NC_000913.3	235535	236002	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947799	0	live	secY	b3300, ECK3287, prlA	Sec translocon subunit SecY	Sec translocon subunit SecY			NC_000913.3	3442766	3444097	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945108	0	live	acrB	b0462, ECK0456, acrE	multidrug efflux pump RND permease AcrB	multidrug efflux pump RND permease AcrB			NC_000913.3	481254	484403	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948655	0	live	groS	b4142, ECK4136, groES, mopB	cochaperonin GroES	cochaperonin GroES			NC_000913.3	4370688	4370981	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948482	0	live	tufB	b3980, ECK3971, kirT, pulT	translation elongation factor Tu 2	translation elongation factor Tu 2			NC_000913.3	4175944	4177128	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946879	0	live	ptsI	b2416, ECK2411, ctr	PTS enzyme I	PTS enzyme I			NC_000913.3	2534066	2535793	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947697	0	live	fis	b3261, ECK3248, nbp	DNA-binding transcriptional dual regulator Fis	DNA-binding transcriptional dual regulator Fis			NC_000913.3	3411271	3411567	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948570	0	live	ssb	b4059, ECK4051, exrB, lexC	ssDNA-binding protein	ssDNA-binding protein			NC_000913.3	4274125	4274661	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945082	0	live	clpP	b0437, ECK0431, lopP	ATP-dependent Clp protease proteolytic subunit	ATP-dependent Clp protease proteolytic subunit			NC_000913.3	456677	457300	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947672	0	live	pnp	b3164, ECK3152, bfl	polynucleotide phosphorylase	polynucleotide phosphorylase			NC_000913.3	3309033	3311168	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946886	0	live	ptsH	b2415, ECK2410, ctr, hpr	phosphocarrier protein HPr	phosphocarrier protein HPr			NC_000913.3	2533764	2534021	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947970	0	live	rpoH	b3461, ECK3445, fam, hin, htpR	RNA polymerase, sigma 32 (sigma H) factor	RNA polymerase, sigma 32 (sigma H) factor			NC_000913.3	3599929	3600783	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944922	0	live	dinB	b0231, ECK0232, dinP	DNA polymerase IV	DNA polymerase IV			NC_000913.3	250898	251953	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945741	0	live	minD	b1175, ECK1163, minB	Z-ring positioning protein MinD	Z-ring positioning protein MinD			NC_000913.3	1224549	1225361	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944758	0	live	nhaA	b0019, ECK0020, ant, antA	Na(+):H(+) antiporter NhaA	Na(+):H(+) antiporter NhaA			NC_000913.3	17489	18655	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945097	0	live	adk	b0474, ECK0468, dnaW, plsA	adenylate kinase	adenylate kinase			NC_000913.3	497175	497819	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948442	0	live	emrE	b0543, ECK0534, eb, mvrC	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	DLP12 prophage|multidrug/betaine/choline efflux transporter EmrE			NC_000913.3	568315	568647	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945746	0	live	umuD	b1183, ECK1171	DNA polymerase V protein UmuD	DNA polymerase V protein UmuD			NC_000913.3	1230767	1231186	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945041	0	live	phoA	b0383, ECK0378, psiA	alkaline phosphatase	alkaline phosphatase			NC_000913.3	401747	403162	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948370	0	live	glnA	b3870, ECK3863	glutamine synthetase	glutamine synthetase			NC_000913.3	4056625	4058034	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944780	0	live	araC	b0064, ECK0065	DNA-binding transcriptional dual regulator AraC	DNA-binding transcriptional dual regulator AraC			NC_000913.3	70387	71265	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948403	0	live	sodA	b3908, ECK3901	superoxide dismutase (Mn)	superoxide dismutase (Mn)			NC_000913.3	4100810	4101430	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946401	0	live	cheA	b1888, ECK1889	chemotaxis protein CheA	chemotaxis protein CheA			NC_000913.3	1973360	1975324	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948469	0	live	birA	b3973, ECK3965, bioR, dhbB	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA			NC_000913.3	4173082	4174047	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945105	0	live	dnaX	b0470, ECK0464, dnaZ	DNA polymerase III subunit gamma;DNA polymerase III subunit tau	DNA polymerase III subunit gamma;DNA polymerase III subunit tau			NC_000913.3	492092	494023	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947244	0	live	relA	b2784, ECK2778, RC	GDP/GTP pyrophosphokinase	GDP/GTP pyrophosphokinase			NC_000913.3	2911417	2913651	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946765	0	live	mutM	b3635, ECK3625, fpg	DNA-formamidopyrimidine glycosylase	DNA-formamidopyrimidine glycosylase			NC_000913.3	3810343	3811152	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948218	0	live	dnaN	b3701, ECK3693	beta sliding clamp	beta sliding clamp			NC_000913.3	3881221	3882321	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944843	0	live	mrcB	b0149, ECK0148, pbpF, ponB	PBP1Bgamma;peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	PBP1Bgamma;peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB			NC_000913.3	164730	167264	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947570	0	live	dnaG	b3066, ECK3056, dnaP, parB, sdgA	DNA primase	DNA primase			NC_000913.3	3211107	3212852	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948544	0	live	lexA	b4043, ECK4035, exrA, spr, tsl, umuA	DNA-binding transcriptional repressor LexA	DNA-binding transcriptional repressor LexA			NC_000913.3	4257115	4257723	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946399	0	live	tar	b1886, ECK1887, cheM	methyl-accepting chemotaxis protein Tar	methyl-accepting chemotaxis protein Tar			NC_000913.3	1971030	1972691	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944753	0	live	dnaJ	b0015, ECK0015, groP, grpC	chaperone protein DnaJ	chaperone protein DnaJ			NC_000913.3	14168	15298	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945553	0	live	aspC	b0928, ECK0919	aspartate aminotransferase	aspartate aminotransferase			NC_000913.3	984519	985709	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945862	0	live	topA	b1274, ECK1268, supX	DNA topoisomerase 1	DNA topoisomerase 1			NC_000913.3	1331048	1333645	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945843	0	live	tonB	b1252, ECK1246, T1rec, exbA	Ton complex subunit TonB	Ton complex subunit TonB			NC_000913.3	1311089	1311808	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948471	0	live	rrfB	b3971, ECK3963	5S ribosomal RNA				NC_000913.3	4171637	4171756	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947690	0	live	ftsH	b3178, ECK3167, hflB, mrsC, std, tolZ	ATP-dependent zinc metalloprotease FtsH	ATP-dependent zinc metalloprotease FtsH			NC_000913.3	3325001	3326935	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948516	0	live	rrfE	b4010, ECK4002	5S ribosomal RNA				NC_000913.3	4213040	4213159	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945083	0	live	clpX	b0438, ECK0432, lopC	ATP-dependent Clp protease ATP-binding subunit ClpX	ATP-dependent Clp protease ATP-binding subunit ClpX			NC_000913.3	457426	458700	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946359	0	live	umuC	b1184, ECK1172, uvm	DNA polymerase V catalytic protein	DNA polymerase V catalytic protein			NC_000913.3	1231186	1232454	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948273	0	live	rrfC	b3759, ECK3753	5S ribosomal RNA				NC_000913.3	3946700	3946819	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947070	0	live	rrfG	b2588, ECK2586	5S ribosomal RNA				NC_000913.3	2726069	2726188	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944898	0	live	rrfH	b0205, ECK0205	5S ribosomal RNA				NC_000913.3	228756	228875	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947771	0	live	rrfF	b3272, ECK3259, rrfDbeta, rrvD	5S ribosomal RNA				NC_000913.3	3423423	3423542	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947769	0	live	rrfD	b3274, ECK3261	5S ribosomal RNA				NC_000913.3	3423668	3423787	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948537	0	live	malK	b4035, ECK4027, malB	maltose ABC transporter ATP binding subunit	maltose ABC transporter ATP binding subunit			NC_000913.3	4246784	4247899	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947286	0	live	recB	b2820, ECK2816, ior, rorA	exodeoxyribonuclease V subunit RecB	exodeoxyribonuclease V subunit RecB			NC_000913.3	2952461	2956003	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948353	0	live	dsbA	b3860, ECK3852, dsf, iarA, ppfA	thiol:disulfide oxidoreductase DsbA	thiol:disulfide oxidoreductase DsbA			NC_000913.3	4043418	4044044	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945272	0	live	seqA	b0687, ECK0675, hsm-1	negative modulator of initiation of replication	negative modulator of initiation of replication			NC_000913.3	712987	713532	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948763	0	live	pyrI	b4244, ECK4239	aspartate carbamoyltransferase, PyrI subunit	aspartate carbamoyltransferase, PyrI subunit			NC_000913.3	4470986	4471447	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948347	0	live	uvrD	b3813, ECK3808, dar-2, dda, mutU, pdeB, rad, recL, srjC, uvr502, uvrE	DNA helicase II	DNA helicase II			NC_000913.3	3997983	4000145	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944877	0	live	dnaE	b0184, ECK0183, polC, sdgC	DNA polymerase III subunit alpha	DNA polymerase III subunit alpha			NC_000913.3	205126	208608	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948422	0	live	glpF	b3927, ECK3919	glycerol facilitator	glycerol facilitator			NC_000913.3	4117245	4118090	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948214	0	live	yidC	b3705, ECK3698	membrane protein insertase YidC	membrane protein insertase YidC			NC_000913.3	3885076	3886722	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948412	0	live	pfkA	b3916, ECK3908	6-phosphofructokinase 1	6-phosphofructokinase 1			NC_000913.3	4107552	4108514	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946708	0	live	alkB	b2212, ECK2204, aidD	DNA oxidative demethylase	DNA oxidative demethylase			NC_000913.3	2308691	2309341	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945354	0	live	galE	b0759, ECK0748, galD	UDP-glucose 4-epimerase	UDP-glucose 4-epimerase			NC_000913.3	791039	792055	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948767	0	live	pyrB	b4245, ECK4240	aspartate carbamoyltransferase catalytic subunit	aspartate carbamoyltransferase catalytic subunit			NC_000913.3	4471460	4472395	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948426	0	live	priA	b3935, ECK3927, srgA	primosome factor N'	primosome factor N'			NC_000913.3	4124612	4126810	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945222	0	live	dacA	b0632, ECK0625, pfv	D-alanyl-D-alanine carboxypeptidase DacA	D-alanyl-D-alanine carboxypeptidase DacA			NC_000913.3	662752	663963	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947077	0	live	clpB	b2592, ECK2590, htpM	ClpB80;chaperone protein ClpB	ClpB80;chaperone protein ClpB			NC_000913.3	2731600	2734173	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947139	0	live	degP	b0161, ECK0160, htrA, ptd	periplasmic serine endoprotease DegP	periplasmic serine endoprotease DegP			NC_000913.3	180884	182308	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948123	0	live	secB	b3609, ECK3599	protein export chaperone SecB	protein export chaperone SecB			NC_000913.3	3783661	3784128	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948884	0	live	tsr	b4355, ECK4345, cheD	methyl-accepting chemotaxis protein Tsr	methyl-accepting chemotaxis protein Tsr			NC_000913.3	4591657	4593312	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948532	0	live	malF	b4033, ECK4025	maltose ABC transporter membrane subunit MalF	maltose ABC transporter membrane subunit MalF			NC_000913.3	4243531	4245075	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946441	0	live	dnaQ	b0215, ECK0215, mutD	DNA polymerase III subunit epsilon	DNA polymerase III subunit epsilon			NC_000913.3	236067	236798	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945081	0	live	tig	b0436, ECK0430	trigger factor	trigger factor			NC_000913.3	455133	456431	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947893	0	live	dam	b3387, ECK3374	DNA adenine methyltransferase	DNA adenine methyltransferase			NC_000913.3	3515077	3515913	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944761	0	live	ileS	b0026, ECK0027, ilvS	isoleucine--tRNA ligase	isoleucine--tRNA ligase			NC_000913.3	22391	25207	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947175	0	live	alaS	b2697, ECK2692, act, ala-act, lovB	alanine--tRNA ligase/DNA-binding transcriptional repressor	alanine--tRNA ligase/DNA-binding transcriptional repressor			NC_000913.3	2819381	2822011	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945472	0	live	ihfA	b1712, ECK1710, hid, himA	integration host factor subunit alpha	integration host factor subunit alpha			NC_000913.3	1795253	1795552	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947682	0	live	nusA	b3169, ECK3158	transcription termination/antitermination protein NusA	transcription termination/antitermination protein NusA			NC_000913.3	3316039	3317526	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946132	0	live	poxB	b0871, ECK0862	pyruvate oxidase	pyruvate oxidase			NC_000913.3	909331	911049	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946885	0	live	ligA	b2411, ECK2406, dnaL, lig, lop, pdeC	DNA ligase	DNA ligase			NC_000913.3	2528161	2530176	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945102	0	live	ftsK	b0890, ECK0881, dinH	cell division DNA translocase FtsK	cell division DNA translocase FtsK			NC_000913.3	933224	937213	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946732	0	live	nrdB	b2235, ECK2227, ftsB	ribonucleoside-diphosphate reductase 1 subunit beta	ribonucleoside-diphosphate reductase 1 subunit beta			NC_000913.3	2347384	2348514	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946204	0	live	trpA	b1260, ECK1254, try, tryp	tryptophan synthase subunit alpha	tryptophan synthase subunit alpha			NC_000913.3	1316416	1317222	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946144	0	live	pntB	b1602, ECK1597	pyridine nucleotide transhydrogenase subunit beta	pyridine nucleotide transhydrogenase subunit beta			NC_000913.3	1674972	1676360	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948530	0	live	malG	b4032, ECK4024	maltose ABC transporter membrane subunit MalG	maltose ABC transporter membrane subunit MalG			NC_000913.3	4242626	4243516	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946628	0	live	pntA	b1603, ECK1598	pyridine nucleotide transhydrogenase subunit alpha	pyridine nucleotide transhydrogenase subunit alpha			NC_000913.3	1676371	1677903	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947272	0	live	envZ	b3404, ECK3391, ompB, perA, tpo	sensor histidine kinase EnvZ	sensor histidine kinase EnvZ			NC_000913.3	3534516	3535868	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945310	0	live	glnS	b0680, ECK0668	glutamine--tRNA ligase	glutamine--tRNA ligase			NC_000913.3	706093	707757	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948847	0	live	fimH	b4320, ECK4311, pilE	type 1 fimbriae D-mannose specific adhesin	type 1 fimbriae D-mannose specific adhesin			NC_000913.3	4548808	4549710	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	946710	0	live	ada	b2213, ECK2205	DNA-binding transcriptional dual regulator/DNA repair protein Ada	DNA-binding transcriptional dual regulator/DNA repair protein Ada			NC_000913.3	2309341	2310405	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947755	0	live	cyaA	b3806, ECK3800, cya	adenylate cyclase	adenylate cyclase			NC_000913.3	3991153	3993699	plus	0		
