gene_ID,type,gene_symbol,start,stop,description,,,
ECB_00056,cds,pdxA,56622,57611,4-hydroxythreonine-4-phosphate dehydrogenase,,,
ECB_00057,cds,surA,57611,58897,peptidyl-prolyl cis-trans isomerase (PPIase),,,
ECB_00058,cds,imp,58950,61304,organic solvent tolerance protein precursor,,,
ECB_00059,cds,djlA,61559,62374,Dna-J like membrane chaperone protein,,,
ECB_00060,cds,rluA,62491,63150,pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32),,,
ECB_00061,cds,hepA,63162,66068,ATP-dependent helicase HepA,,,
ECB_00062,cds,polB,66233,68584,DNA polymerase II,,,
ECB_00063,cds,araD,68659,69354,L-ribulose-5-phosphate 4-epimerase,,,
ECB_00064,cds,araA,69639,71141,L-arabinose isomerase,,,
ECB_00065,cds,araB,71152,72852,ribulokinase,,,
ECB_00066,cds,araC,73191,74069,DNA-binding transcriptional dual regulator,,,
ECB_00067,cds,yabI,74155,74919,conserved inner membrane protein,,,
ECB_00068,cds,yabJ,75033,75731,thiamin transporter subunit,,,
ECB_00069,cds,thiP,75715,77325,thiamin ABC transporter membrane protein,,,
ECB_00070,cds,tbpA,77301,78284,thiamin transporter subunit,,,
ECB_00071,cds,yabN,78448,80103,DNA-binding transcriptional regulator,,,
EBG00001040580,ncrna,SgrS,80171,80397,,,,
ECB_00072,cds,setA,80425,81603,broad specificity sugar efflux system,,,
ECB_00073,cds,leuD,81652,82257,isopropylmalate isomerase small subunit,,,
ECB_00074,cds,leuC,82268,83668,isopropylmalate isomerase large subunit,,,
ECB_00075,cds,leuB,83671,84762,3-isopropylmalate dehydrogenase,,,
ECB_00076,cds,leuA,84762,86333,2-isopropylmalate synthase,,,
ECB_00077,cds,leuL,86426,86512,leu operon leader peptide,,,
ECB_00078,cds,leuO,87172,88116,leucine transcriptional activator,,,
ECB_00079,cds,ilvI,88434,90158,acetolactate synthase III large subunit,,,
ECB_00080,cds,ilvH,90161,90652,acetolactate synthase small subunit,,,
ECB_00081,cds,fruR,90832,91836,DNA-binding transcriptional dual regulator,,,
ECB_00082,cds,yabB,92438,92896,hypothetical protein,,,
ECB_00083,cds,mraW,92898,93839,S-adenosyl-methyltransferase,,,
ECB_00084,cds,ftsL,93836,94201,membrane bound cell division protein at septum containing leucine zipper motif,,,
ECB_00085,cds,ftsI,94217,95983,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),,,
ECB_00086,cds,murE,95970,97457,"UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase",,,
ECB_00087,cds,murF,97454,98812,UDP-N-acetylmuramoyl-tripeptide,,,
ECB_00088,cds,mraY,98806,99888,phospho-N-acetylmuramoyl-pentapeptide-transferase,,,
ECB_00089,cds,murD,99891,101207,UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase,,,
ECB_00090,cds,ftsW,101207,102451,integral membrane protein involved in stabilizing FstZ ring during cell division,,,
ECB_00091,cds,murG,102448,103515,N-acetylglucosaminyl transferase,,,
ECB_00092,cds,murC,103569,105044,UDP-N-acetylmuramate-L-alanine ligase,,,
ECB_00093,cds,ddlB,105037,105957,D-alanylalanine synthetase,,,
ECB_00094,cds,ftsQ,105959,106789,membrane anchored protein,,,
ECB_00095,cds,ftsA,106786,108048,cell division protein,,,
ECB_00096,cds,ftsZ,108109,109260,cell division protein FtsZ,,,
ECB_00097,cds,lpxC,109361,110278,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,,,
ECB_00098,cds,yacA,110509,111021,SecA regulator SecM,,,
ECB_00099,cds,secA,111083,113788,translocase,,,
EBG00001040573,ncrna,STnc40,113764,113833,,,,
ECB_00100,cds,mutT,113848,114237,"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP",,,
ECB_00101,cds,yacG,114453,114650,zinc-binding protein,,,
ECB_00102,cds,yacF,114660,115403,hypothetical protein,,,
ECB_00103,cds,coaE,115403,116023,dephospho-CoA kinase,,,
ECB_00104,cds,guaC,116248,117291,guanosine 5'-monophosphate oxidoreductase,,,
ECB_00105,cds,hofC,117326,118528,"assembly protein in type IV pilin biogenesis, transmembrane protein",,,
ECB_00106,cds,hofB,118518,119903,conserved hypothetical protein with nucleoside triphosphate hydrolase domain,,,
ECB_00107,cds,ppdD,119913,120353,predicted major pilin subunit,,,
ECB_00108,cds,nadC,120556,121449,nicotinate-nucleotide pyrophosphorylase,,,
ECB_00109,cds,ampD,121537,122088,N-acetyl-anhydromuranmyl-L-alanine amidase,,,
ECB_00110,cds,ampE,122085,122939,predicted inner membrane protein,,,
ECB_00111,cds,aroP,122982,124355,aromatic amino acid transporter,,,
ECB_00112,cds,pdhR,124896,125660,transcriptional regulator of pyruvate dehydrogenase complex,,,
EBG00001040673,ncrna,tp2,125705,125818,,,,
ECB_00113,cds,aceE,125821,128484,pyruvate dehydrogenase subunit E1,,,
ECB_00114,cds,aceF,128499,130391,dihydrolipoamide acetyltransferase,,,
ECB_00115,cds,lpdA,130716,132140,dihydrolipoamide dehydrogenase,,,
ECB_00116,cds,yacH,132211,134064,hypothetical protein,,,
ECB_00117,cds,acnB,134419,137016,aconitate hydratase,,,
ECB_00118,cds,yacL,137191,137553,hypothetical protein,,,
ECB_00119,cds,speD,137591,138385,S-adenosylmethionine decarboxylase proenzyme,,,
ECB_00120,cds,speE,138401,139267,spermidine synthase,,,
ECB_00121,cds,yacC,139373,139720,hypothetical protein,,,
ECB_00122,cds,cueO,139886,141436,multicopper oxidase (laccase),,,
ECB_00123,cds,gcd,141638,144028,glucose dehydrogenase,,,
ECB_00124,cds,hpt,144234,144770,hypoxanthine-guanine phosphoribosyltransferase,,,
ECB_00125,cds,yadF,144811,145473,carbonic anhydrase,,,
ECB_00126,cds,yadG,145582,146508,predicted transporter subunit,,,
ECB_00127,cds,yadH,146505,147275,predicted transporter subunit,,,
ECB_00128,cds,yadI,147380,147820,predicted PTS Enzyme IIA,,,
ECB_00129,cds,yadE,147884,149113,predicted polysaccharide deacetylase lipoprotein,,,
ECB_00130,cds,panD,149117,149497,aspartate 1-decarboxylase precursor,,,
ECB_00131,cds,yadD,149771,150673,predicted transposase,,,
ECB_00132,cds,panC,150747,151598,pantoate-beta-alanine ligase,,,
ECB_00133,cds,panB,151610,152404,3-methyl-2-oxobutanoate hydroxymethyltransferase,,,
ECB_00134,cds,yadC,152517,153863,predicted fimbrial-like adhesin protein,,,
ECB_00135,cds,yadK,153844,154440,predicted fimbrial-like adhesin protein,,,
ECB_00136,cds,yadL,154467,155069,predicted fimbrial-like adhesin protein,,,
ECB_00137,cds,yadM,155084,155653,predicted fimbrial-like adhesin protein,,,
ECB_00138,cds,htrE,155670,158270,predicted outer membrane usher protein,,,
ECB_00139,cds,ecpD,158305,159045,predicted periplasmic pilin chaperone,,,
ECB_00140,cds,yadN,159150,159734,predicted fimbrial-like adhesin protein,,,
ECB_00141,cds,folK,160104,160583,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,,,
ECB_00142,cds,pcnB,160580,161944,poly(A) polymerase I,,,
ECB_00143,cds,yadB,162037,162963,glutamyl-Q tRNA(Asp) synthetase,,,
ECB_00144,cds,dksA,163000,163455,"DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein",,,
ECB_00145,cds,sfsA,163633,164337,sugar fermentation stimulation protein A,,,
ECB_00146,cds,ligT,164352,164882,2'-5' RNA ligase,,,
ECB_00147,cds,hrpB,164956,167385,predicted ATP-dependent helicase,,,
ECB_00148,cds,mrcB,167581,170106,penicillin-binding protein 1b,,,
ECB_00149,cds,fhuA,170326,172569,ferrichrome outer membrane transporter,,,
ECB_00150,cds,fhuC,172620,173417,iron-hydroxamate transporter subunit,,,
ECB_00151,cds,fhuD,173417,174307,iron-hydroxamate transporter subunit,,,
ECB_00152,cds,fhuB,174304,176286,fused iron-hydroxamate transporter subunits of ABC superfamily,,,
ECB_00153,cds,hemL,176444,177724,glutamate-1-semialdehyde aminotransferase,,,
ECB_00154,cds,yadQ,177949,179370,chloride channel protein,,,
ECB_00155,cds,yadR,179452,179796,hypothetical protein,,,
ECB_00156,cds,yadS,179843,180466,conserved inner membrane protein,,,
ECB_00157,cds,yadT,180504,181304,vitamin B12-transporter protein BtuF,,,
ECB_00158,cds,pfs,181297,181995,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,,
ECB_00159,cds,dgt,182079,183596,deoxyguanosinetriphosphate triphosphohydrolase,,,
ECB_00160,cds,degP,183726,185150,"serine endoprotease (protease Do), membrane-associated",,,
ECB_00161,cds,cdaR,185305,186462,DNA-binding transcriptional activator,,,
ECB_00162,cds,yaeH,186551,186937,hypothetical protein,,,
ECB_00163,cds,yaeI,187099,187911,predicted phosphatase,,,
ECB_00164,cds,dapD,187965,188789,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",,,
ECB_00165,cds,glnD,188820,191492,PII uridylyl-transferase,,,
ECB_00166,cds,map,191554,192348,methionine aminopeptidase,,,
EBG00001040721,ncrna,t44,192602,192688,,,,
ECB_00167,cds,rpsB,192716,193441,30S ribosomal protein S2,,,
ECB_00168,cds,tsf,193699,194550,elongation factor Ts,,,
ECB_00169,cds,pyrH,194697,195422,uridylate kinase,,,
ECB_00170,cds,frr,195714,196271,ribosome releasing factor,,,
ECB_00171,cds,ispC,196363,197559,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,
ECB_00172,cds,uppS,197745,198506,undecaprenyl pyrophosphate synthase,,,
ECB_00173,cds,cdsA,198519,199376,CDP-diglyceride synthase,,,
ECB_00174,cds,yaeL,199388,200740,zinc metallopeptidase,,,
ECB_00175,cds,yaeT,200770,203202,hypothetical protein,,,
ECB_00176,cds,hlpA,203324,203809,periplasmic chaperone,,,
ECB_00177,cds,lpxD,203813,204838,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,,,
ECB_00178,cds,fabZ,204943,205398,(3R)-hydroxymyristoyl ACP dehydratase,,,
ECB_00179,cds,lpxA,205402,206190,UDP-N-acetylglucosamine acyltransferase,,,
ECB_00180,cds,lpxB,206190,207338,lipid-A-disaccharide synthase,,,
ECB_00181,cds,rnhB,207335,207931,ribonuclease HII,,,
ECB_00182,cds,dnaE,207968,211450,DNA polymerase III subunit alpha,,,
ECB_00183,cds,accA,211463,212422,acetyl-CoA carboxylase subunit alpha,,,
ECB_00184,cds,ldcC,212521,214662,"lysine decarboxylase 2, constitutive",,,
ECB_00185,cds,yaeR,214719,215108,predicted lyase,,,
ECB_00186,cds,tilS,215173,216471,tRNA(Ile)-lysidine synthetase,,,
ECB_00187,cds,rof,216520,216774,modulator of Rho-dependent transcription termination,,,
ECB_00188,cds,yaeP,216767,216967,hypothetical protein,,,
ECB_00189,cds,yaeQ,217133,217678,hypothetical protein,,,
ECB_00190,cds,yaeJ,217675,218097,hypothetical protein,,,
ECB_00191,cds,cutF,218111,218821,lipoprotein involved with copper homeostasis and adhesion,,,
ECB_00192,cds,yaeF,219021,219845,predicted lipoprotein,,,
ECB_00193,cds,proS,219898,221616,prolyl-tRNA synthetase,,,
ECB_00194,cds,yaeB,221727,222434,hypothetical protein,,,
ECB_00195,cds,rcsF,222431,222835,"predicted outer membrane protein, signal",,,
ECB_00196,cds,metQ,222953,223768,DL-methionine transporter subunit,,,
ECB_00197,cds,metI,223808,224461,DL-methionine transporter subunit,,,
ECB_00198,cds,metN,224454,225485,DL-methionine transporter subunit,,,
ECB_00199,cds,gmhB,225673,226245,hypothetical protein,,,
ECB_r00001,ncrna,rrsH,226609,228150,,,,
EBG00001040632,ncrna,SSU_rRNA_archaea,226614,228148,,,,
ECB_t00001,ncrna,ileV,228219,228295,,,,
EBG00001040592,ncrna,tRNA,228219,228292,,,,
ECB_t00002,ncrna,alaV,228338,228413,,,,
EBG00001040705,ncrna,tRNA,228338,228410,,,,
EBG00001040610,ncrna,StyR-44,228481,228580,,,,
ECB_r00002,ncrna,rrlH,228588,231493,,,,
EBG00001040597,ncrna,LSU_rRNA_bacteria,228588,231493,,,,
EBG00001040584,ncrna,PK-G12rRNA,230872,230979,,,,
ECB_r00003,ncrna,rrfH,231680,231799,,,,
EBG00001040567,ncrna,5S_rRNA,231682,231797,,,,
EBG00001040662,ncrna,tRNA,231852,231925,,,,
ECB_t00003,ncrna,aspU,231852,231928,,,,
ECB_00200,cds,dkgB,232091,232894,"2,5-diketo-D-gluconate reductase B",,,
ECB_00201,cds,yafC,232891,233805,predicted DNA-binding transcriptional regulator,,,
ECB_00202,cds,yafD,234046,234846,hypothetical protein,,,
ECB_00203,cds,yafE,234850,235473,predicted S-adenosyl-L-methionine-dependent methyltransferase,,,
ECB_00204,cds,mltD,235521,236879,predicted membrane-bound lytic murein transglycosylase D,,,
ECB_00205,cds,gloB,236951,237706,predicted hydroxyacylglutathione hydrolase,,,
ECB_00206,cds,yafS,237740,238462,predicted S-adenosyl-L-methionine-dependent methyltransferase,,,
ECB_00207,cds,rnhA,238459,238926,ribonuclease H,,,
ECB_00208,cds,dnaQ,238991,239722,DNA polymerase III subunit epsilon,,,
EBG00001040699,ncrna,tRNA,239855,239928,,,,
ECB_t00004,ncrna,aspV,239855,239931,,,,
ECB_00209,cds,yafT,240261,241046,predicted aminopeptidase,,,
ECB_00210,cds,insA-2,241312,241587,IS1 protein InsA,,,
ECB_00211,cds,insB-2,241506,242009,IS1 protein InsB,,,
ECB_00212,cds,,242011,242382,hypothetical protein,,,
ECB_00213,cds,yhhI-1,242813,243949,predicted transposase,,,
ECB_00214,cds,yafV,243990,244760,"predicted C-N hydrolase family amidase, NAD(P)-binding",,,
ECB_00215,cds,ykfE,244914,245387,inhibitor of vertebrate C-lysozyme,,,
ECB_00216,cds,fadE,245430,247874,acyl-CoA dehydrogenase,,,
ECB_00217,cds,lpcA,248114,248692,phosphoheptose isomerase,,,
ECB_00218,cds,yafJ,248898,249665,predicted amidotransfease,,,
ECB_00219,cds,yafK,249636,250376,hypothetical protein,,,
ECB_00220,cds,yafQ,250532,250810,predicted toxin of the YafQ-DinJ toxin-antitoxin system,,,
ECB_00221,cds,dinJ,250813,251073,predicted antitoxin of YafQ-DinJ toxin-antitoxin system,,,
ECB_00222,cds,yafL,251283,252032,predicted lipoprotein and C40 family peptidase,,,
ECB_00223,cds,yafM,252208,252705,hypothetical protein,,,
ECB_00226,cds,dinB,255461,256516,DNA polymerase IV,,,
ECB_00227,cds,yafN,256568,256861,predicted antitoxin of the YafO-YafN toxin-antitoxin system,,,
ECB_00228,cds,yafO,256864,257262,predicted toxin of the YafO-YafN toxin-antitoxin system,,,
ECB_00229,cds,yafP,257272,257724,predicted acyltransferase with acyl-CoA N-acyltransferase domain,,,
ECB_00230,cds,ykfJ,257958,258224,hypothetical protein,,,
ECB_00231,cds,prfH,258193,258693,peptide chain release factor 2,,,
ECB_00232,cds,pepD,258750,260207,aminoacyl-histidine dipeptidase (peptidase D),,,
ECB_00233,cds,gpt,260468,260926,xanthine phosphoribosyltransferase,,,
ECB_00234,cds,yafA,261018,262262,fermentation/respiration switch protein,,,
ECB_00235,cds,crl,262320,262721,DNA-binding transcriptional regulator,,,
ECB_00236,cds,insA-3,262847,263122,IS1 protein InsA,,,
ECB_00237,cds,insB-3,263041,263544,IS1 protein InsB,,,
ECB_00238,cds,phoE,263555,264592,outer membrane phosphoporin protein E,,,
ECB_00239,cds,proB,264880,265983,gamma-glutamyl kinase,,,
ECB_00240,cds,proA,265995,267248,gamma-glutamyl phosphate reductase,,,
ECB_t00005,ncrna,thrW,267363,267438,,,,
EBG00001040646,ncrna,tRNA,267363,267435,,,,
ECB_00241,cds,yagP,267565,267975,predicted transcriptional regulator,,,
ECB_00242,cds,yagQ,267954,268910,hypothetical protein,,,
ECB_00243,cds,yagR,268920,271118,predicted oxidoreductase with molybdenum-binding domain,,,
ECB_00244,cds,yagS,271115,272071,predicted oxidoreductase with FAD-binding domain,,,
ECB_00245,cds,yagT,272068,272757,"predicted xanthine dehydrogenase, 2Fe-2S subunit",,,
ECB_00246,cds,yagU,273174,273788,conserved inner membrane protein,,,
EBG00001040524,ncrna,IS009,273794,273992,,,,
ECB_00247,cds,ykgJ,274035,274364,predicted ferredoxin,,,
ECB_00248,cds,yagV,274677,275387,hypothetical protein,,,
ECB_00249,cds,yagW,275356,276999,predicted receptor,,,
ECB_00250,cds,yagX,276989,279514,predicted aromatic compound dioxygenase,,,
ECB_00251,cds,yagY,279540,280208,hypothetical protein,,,
ECB_00252,cds,yagZ,280266,280901,hypothetical protein,,,
ECB_00253,cds,ykgK,280927,281517,predicted regulator,,,
ECB_00254,cds,ykgL,282292,282519,hypothetical protein,,,
ECB_00255,cds,ykgM,282694,282957,50S ribosomal protein L31,,,
ECB_00256,cds,eaeH,284537,288793,"attaching and effacing protein, pathogenesis factor",,,
ECB_00257,cds,ykgA,288933,289784,predicted DNA-binding transcriptional regulator,,,
ECB_00258,cds,ykgB,290375,290968,conserved inner membrane protein,,,
ECB_00259,cds,ykgI,290980,291216,hypothetical protein,,,
ECB_00260,cds,ykgC,291325,292650,pyridine nucleotide-disulfide oxidoreductase,,,
ECB_00261,cds,ykgD,292876,293730,predicted DNA-binding transcriptional regulator,,,
ECB_00262,cds,ykgE,294257,294976,predicted oxidoreductase,,,
ECB_00263,cds,ykgF,294987,296414,predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,,,
ECB_00264,cds,ykgG,296407,297102,predicted transporter,,,
ECB_00265,cds,,297057,297269,hypothetical protein,,,
ECB_00266,cds,ykgH,297345,298013,predicted inner membrane protein,,,
ECB_00267,cds,betA,298226,299896,choline dehydrogenase,,,
ECB_00268,cds,betB,299910,301382,"betaine aldehyde dehydrogenase, NAD-dependent",,,
ECB_00269,cds,betI,301396,301983,transcriptional regulator BetI,,,
ECB_00270,cds,betT,302112,304145,choline transporter of high affinity,,,
ECB_00271,cds,yahA,305020,306108,predicted DNA-binding transcriptional regulator,,,
ECB_00272,cds,yahB,306150,307082,predicted DNA-bindng transcriptional regulator,,,
ECB_00273,cds,yahC,307174,307671,predicted inner membrane protein,,,
ECB_00274,cds,yahD,307929,308534,predicted transcriptional regulator with ankyrin domain,,,
ECB_00275,cds,yahE,308574,309437,hypothetical protein,,,
ECB_00276,cds,yahF,309427,310974,predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain,,,
ECB_00277,cds,yahG,310974,312392,hypothetical protein,,,
ECB_00278,cds,yahI,312814,313764,predicted carbamate kinase-like protein,,,
ECB_00279,cds,yahJ,313774,315156,deaminase,,,
ECB_00280,cds,yahK,315533,316582,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",,,
ECB_00281,cds,yahL,316826,317641,hypothetical protein,,,
ECB_00282,cds,yahM,318054,318299,hypothetical protein,,,
ECB_00283,cds,yahN,318316,318987,neutral amino-acid efflux system,,,
ECB_00284,cds,yahO,319134,319409,hypothetical protein,,,
ECB_00285,cds,prpR,319507,321093,DNA-binding transcriptional activator,,,
ECB_00286,cds,prpB,321332,322222,2-methylisocitrate lyase,,,
ECB_00287,cds,prpC,322662,323831,2-methylcitrate synthase,,,
ECB_00288,cds,prpD,323865,325316,2-methylcitrate dehydratase,,,
ECB_00289,cds,prpE,325356,327242,predicted propionyl-CoA synthetase with ATPase domain,,,
ECB_00290,cds,codB,327478,328737,cytosine transporter,,,
ECB_00291,cds,codA,328727,330010,cytosine deaminase,,,
ECB_00292,cds,cynR,330347,331246,DNA-binding transcriptional dual regulator,,,
ECB_00293,cds,cynT,331355,332014,carbonic anhydrase,,,
ECB_00294,cds,cynS,332045,332515,cyanate hydratase,,,
ECB_00295,cds,cynX,332548,333702,predicted cyanate transporter,,,
ECB_00296,cds,lacA,333805,334416,galactoside O-acetyltransferase,,,
ECB_00297,cds,lacY,334482,335735,galactoside permease,,,
ECB_00298,cds,lacZ,335787,338861,beta-D-galactosidase,,,
ECB_00299,cds,lacI,338984,340066,lac repressor,,,
ECB_00300,cds,mhpR,340143,341090,"DNA-binding transcriptional activator, 3HPP-binding",,,
ECB_00301,cds,mhpA,341167,342831,3-(3-hydroxyphenyl)propionate hydroxylase,,,
ECB_00302,cds,mhpB,342833,343777,"2,3-dihydroxyphenylpropionate 1,2-dioxygenase",,,
ECB_00303,cds,mhpC,343780,344661,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",,,
ECB_00304,cds,mhpD,344671,345480,2-keto-4-pentenoate hydratase,,,
ECB_00305,cds,mhpF,345477,346427,acetaldehyde dehydrogenase,,,
ECB_00306,cds,mhpE,346424,347437,4-hydroxy-2-ketovalerate aldolase,,,
ECB_00307,cds,mhpT,347815,349026,predicted 3-hydroxyphenylpropionic transporter,,,
ECB_00308,cds,yaiL,349128,349667,nucleoprotein/polynucleotide-associated enzyme,,,
ECB_00309,cds,frmB,349893,350726,predicted esterase,,,
ECB_00310,cds,frmA,350819,351928,alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase,,,
ECB_00311,cds,frmR,351963,352238,regulator protein that represses frmRAB operon,,,
ECB_00312,cds,yaiO,352424,353197,hypothetical protein,,,
ECB_00313,cds,insB-4,353279,353782,IS1 protein InsB,,,
ECB_00314,cds,insA-4,353701,353976,IS1 protein InsA,,,
ECB_00315,cds,tauA,354140,355102,taurine transporter subunit,,,
ECB_00316,cds,tauB,355115,355882,taurine transporter subunit,,,
ECB_00317,cds,tauC,355879,356706,taurine transporter subunit,,,
ECB_00318,cds,tauD,356703,357554,taurine dioxygenase,,,
ECB_00319,cds,hemB,357661,358635,delta-aminolevulinic acid dehydratase,,,
ECB_00320,cds,,358825,359022,hypothetical protein,,,
ECB_00321,cds,yaiT,359158,362064,conserved hypothetical protein,,,
ECB_00322,cds,yaiV,362107,362775,predicted DNA-binding transcriptional regulator,,,
ECB_00323,cds,ampH,362776,363933,beta-lactamase/D-alanine carboxypeptidase,,,
ECB_00324,cds,sbmA,364285,365505,predicted transporter,,,
ECB_00325,cds,yaiW,365518,366612,predicted DNA-binding transcriptional regulator,,,
ECB_00326,cds,yaiY,366671,366979,predicted inner membrane protein,,,
ECB_00327,cds,yaiZ,367239,367451,predicted inner membrane protein,,,
ECB_00328,cds,ddlA,367475,368569,D-alanylalanine synthetase,,,
ECB_00329,cds,yaiB,369032,369292,hypothetical protein,,,
ECB_00330,cds,phoA,369393,370808,bacterial alkaline phosphatase,,,
ECB_00331,cds,psiF,370927,371247,hypothetical protein,,,
ECB_00332,cds,yaiC,371349,372464,predicted diguanylate cyclase,,,
ECB_00333,cds,proC,372481,373290,pyrroline-5-carboxylate reductase,,,
ECB_00334,cds,yaiI,373410,373868,hypothetical protein,,,
ECB_00335,cds,aroL,374051,374575,shikimate kinase II,,,
ECB_00336,cds,yaiA,374625,374816,hypothetical protein,,,
ECB_00337,cds,aroM,375074,375751,hypothetical protein,,,
ECB_00338,cds,yaiE,375823,376107,hypothetical protein,,,
ECB_00339,cds,ykiA,376315,376596,hypothetical protein,,,
ECB_00340,cds,insB-5,376764,377267,IS1 protein InsB,,,
ECB_00341,cds,insA-5,377186,377461,IS1 protein InsA,,,
ECB_00342,cds,rdgC,377531,378442,recombination associated protein,,,
ECB_00343,cds,yajF,378567,379475,fructokinase,,,
ECB_00344,cds,araJ,379720,380904,predicted transporter,,,
ECB_00345,cds,sbcC,381030,384176,"exonuclease, dsDNA, ATP-dependent",,,
